RANDOM_MOVES,SEARCH_EXIT_CODE,TOTAL_TIME,PLAN_LENGTH,PEAK_MEMORY,GENERATED_STATES,TIME_LIMIT_SEC,MEMORY_LIMIT_MB
1,0,0.117737,1,11240,12,3600,5000
2,0,0.010069,2,11240,24,3600,5000
3,0,0.092053,3,11240,36,3600,5000
4,0,0.016940,4,11240,48,3600,5000
5,0,0.189561,5,11240,540,3600,5000
6,0,0.656532,10,11376,4092,3600,5000
7,0,393.955136,21,803336,9236400,3600,5000
8,0,761.168900,24,1746376,20440536,3600,5000
9,0,12.907482,9,47052,443448,3600,5000
10,23,,,11921400,,3600,13000
11,0,311.863979,23,867204,10098624,3600,5000
12,0,1667.91,22,5812288,64620936,3600,13000
13,23,,,8521604,,3600,13000
14,23,,,11647988,,3600,13000
