RANDOM_MOVES,SEARCH_EXIT_CODE,TOTAL_TIME,PLAN_LENGTH,PEAK_MEMORY,GENERATED_STATES,TIME_LIMIT_SEC,MEMORY_LIMIT_MB
1,0,0.154520,1,11240,12,3600,5000
2,0,0.009458,2,11240,24,3600,5000
3,0,0.034026,3,11240,36,3600,5000
4,0,0.011204,4,11240,48,3600,5000
5,0,0.012707,5,11240,60,3600,5000
6,0,0.116515,6,11240,636,3600,5000
7,0,0.028438,7,11240,396,3600,5000
8,0,7.735019,8,34656,269376,3600,5000
9,0,0.215004,9,11508,6684,3600,5000
10,0,52.583144,10,140068,1592976,3600,5000
11,0,0.587787,11,11912,10260,3600,5000
