RANDOM_MOVES,SEARCH_EXIT_CODE,TOTAL_TIME,PLAN_LENGTH,PEAK_MEMORY,GENERATED_STATES,TIME_LIMIT_SEC,MEMORY_LIMIT_MB
1,0,0.014965,1,11240,12,3600,5000
2,0,0.133191,2,11240,24,3600,5000
3,0,0.010973,3,11240,36,3600,5000
4,0,0.010917,4,11240,60,3600,5000
5,0,0.105570,5,11240,324,3600,5000
6,0,0.431325,6,11240,2568,3600,5000
7,0,0.541029,7,11912,11232,3600,5000
8,0,3.104009,8,19256,112572,3600,5000
9,0,27.933939,9,85096,1005852,3600,5000
10,0,1256.558414,10,3308328,42289464,3600,5000
11,0,1831.31,11,5928824,73770936,3600,13000
12,23,,,11555992,,3600,13000
13,23,,,11542972,,3600,13000
14,23,,,11352672,,3600,13000
15,23,,,11632980,,3600,13000
16,23,,,11832480,,3600,13000
